X (g),Y (g),Z (g),Timestamp
0.96,-0.19,0.18,2025-02-11 14:55:21.025172
0.95,-0.18,0.17,2025-02-11 14:55:21.040123
0.96,-0.18,0.17,2025-02-11 14:55:21.041083
0.96,-0.18,0.17,2025-02-11 14:55:21.043045
0.96,-0.18,0.16,2025-02-11 14:55:21.054755
0.95,-0.17,0.16,2025-02-11 14:55:21.055841
0.95,-0.17,0.16,2025-02-11 14:55:21.069842
0.95,-0.17,0.15,2025-02-11 14:55:21.084766
0.95,-0.18,0.16,2025-02-11 14:55:21.099943
0.95,-0.17,0.16,2025-02-11 14:55:21.100965
0.95,-0.16,0.16,2025-02-11 14:55:21.144674
0.95,-0.15,0.16,2025-02-11 14:55:21.145484
0.94,-0.14,0.16,2025-02-11 14:55:21.146599
0.94,-0.15,0.16,2025-02-11 14:55:21.147777
0.93,-0.15,0.14,2025-02-11 14:55:21.150231
0.93,-0.16,0.14,2025-02-11 14:55:21.159875
0.92,-0.17,0.13,2025-02-11 14:55:21.174925
0.92,-0.17,0.12,2025-02-11 14:55:21.189813
0.93,-0.19,0.12,2025-02-11 14:55:21.190920
0.93,-0.19,0.11,2025-02-11 14:55:21.204754
0.93,-0.2,0.1,2025-02-11 14:55:21.206145
0.94,-0.21,0.1,2025-02-11 14:55:21.265227
0.94,-0.21,0.11,2025-02-11 14:55:21.279785
0.94,-0.21,0.1,2025-02-11 14:55:21.310139
0.94,-0.2,0.1,2025-02-11 14:55:21.311086
0.92,-0.19,0.12,2025-02-11 14:55:21.312338
0.92,-0.21,0.13,2025-02-11 14:55:21.313740
0.92,-0.23,0.15,2025-02-11 14:55:21.324898
0.91,-0.25,0.18,2025-02-11 14:55:21.339823
0.9,-0.27,0.19,2025-02-11 14:55:21.341155
0.9,-0.27,0.18,2025-02-11 14:55:21.354849
0.9,-0.27,0.18,2025-02-11 14:55:21.355918
0.91,-0.27,0.17,2025-02-11 14:55:21.369850
0.92,-0.27,0.17,2025-02-11 14:55:21.370847
0.94,-0.28,0.17,2025-02-11 14:55:21.399808
0.96,-0.27,0.17,2025-02-11 14:55:21.414519
0.98,-0.28,0.17,2025-02-11 14:55:21.415157
1.0,-0.28,0.17,2025-02-11 14:55:21.416962
1.01,-0.28,0.19,2025-02-11 14:55:21.429893
1.02,-0.28,0.21,2025-02-11 14:55:21.430936
1.01,-0.29,0.23,2025-02-11 14:55:21.459871
1.0,-0.28,0.25,2025-02-11 14:55:21.460756
0.99,-0.28,0.25,2025-02-11 14:55:21.489285
0.98,-0.28,0.25,2025-02-11 14:55:21.490107
0.97,-0.3,0.26,2025-02-11 14:55:21.491293
0.97,-0.32,0.26,2025-02-11 14:55:21.493189
1.0,-0.38,0.3,2025-02-11 14:55:21.504784
1.01,-0.42,0.33,2025-02-11 14:55:21.519899
1.02,-0.46,0.36,2025-02-11 14:55:21.534180
1.01,-0.5,0.38,2025-02-11 14:55:21.535130
1.0,-0.53,0.38,2025-02-11 14:55:21.537045
1.0,-0.56,0.39,2025-02-11 14:55:21.549866
0.99,-0.59,0.39,2025-02-11 14:55:21.564830
0.97,-0.59,0.38,2025-02-11 14:55:21.565857
0.97,-0.66,0.37,2025-02-11 14:55:21.579698
0.96,-0.56,0.38,2025-02-11 14:55:21.580862
0.96,-0.59,0.37,2025-02-11 14:55:21.595074
0.95,-0.58,0.36,2025-02-11 14:55:21.595926
0.94,-0.59,0.35,2025-02-11 14:55:21.624854
0.94,-0.59,0.34,2025-02-11 14:55:21.639326
0.93,-0.59,0.33,2025-02-11 14:55:21.640111
0.91,-0.6,0.31,2025-02-11 14:55:21.641241
0.89,-0.58,0.3,2025-02-11 14:55:21.654940
0.87,-0.55,0.27,2025-02-11 14:55:21.655800
0.87,-0.53,0.26,2025-02-11 14:55:21.669842
0.87,-0.48,0.25,2025-02-11 14:55:21.684771
0.86,-0.51,0.24,2025-02-11 14:55:21.685831
0.86,-0.5,0.23,2025-02-11 14:55:21.699843
0.87,-0.46,0.24,2025-02-11 14:55:21.714872
0.86,-0.44,0.24,2025-02-11 14:55:21.715855
0.86,-0.43,0.24,2025-02-11 14:55:21.717583
0.86,-0.44,0.23,2025-02-11 14:55:21.730260
0.85,-0.44,0.21,2025-02-11 14:55:21.745111
0.83,-0.4,0.19,2025-02-11 14:55:21.759237
0.83,-0.39,0.16,2025-02-11 14:55:21.760133
0.81,-0.4,0.14,2025-02-11 14:55:21.762108
0.81,-0.38,0.14,2025-02-11 14:55:21.774904
0.82,-0.36,0.14,2025-02-11 14:55:21.790073
0.82,-0.36,0.13,2025-02-11 14:55:21.790880
0.82,-0.36,0.14,2025-02-11 14:55:21.819962
0.83,-0.34,0.14,2025-02-11 14:55:21.820851
0.83,-0.33,0.14,2025-02-11 14:55:21.822083
0.82,-0.3,0.13,2025-02-11 14:55:21.849920
0.82,-0.29,0.12,2025-02-11 14:55:21.864707
0.83,-0.27,0.12,2025-02-11 14:55:21.865139
0.84,-0.26,0.12,2025-02-11 14:55:21.866586
0.85,-0.25,0.12,2025-02-11 14:55:21.880217
0.87,-0.24,0.12,2025-02-11 14:55:21.895278
0.9,-0.24,0.12,2025-02-11 14:55:21.896082
0.93,-0.23,0.11,2025-02-11 14:55:21.909878
0.97,-0.22,0.11,2025-02-11 14:55:21.910975
1.0,-0.21,0.11,2025-02-11 14:55:21.924854
1.04,-0.2,0.11,2025-02-11 14:55:21.925956
1.08,-0.19,0.11,2025-02-11 14:55:21.954912
1.12,-0.19,0.12,2025-02-11 14:55:21.955702
1.16,-0.18,0.12,2025-02-11 14:55:21.957542
1.21,-0.18,0.12,2025-02-11 14:55:21.970103
1.24,-0.17,0.11,2025-02-11 14:55:21.970908
1.27,-0.17,0.1,2025-02-11 14:55:21.985099
1.3,-0.16,0.07,2025-02-11 14:55:21.999885
1.33,-0.15,0.05,2025-02-11 14:55:22.000736
1.36,-0.14,0.03,2025-02-11 14:55:22.002534
1.37,-0.13,0.01,2025-02-11 14:55:22.014882
1.39,-0.12,-0.0,2025-02-11 14:55:22.029897
1.38,-0.16,-0.02,2025-02-11 14:55:22.059247
1.35,-0.17,-0.02,2025-02-11 14:55:22.060110
1.28,-0.2,-0.02,2025-02-11 14:55:22.089799
1.19,-0.21,-0.0,2025-02-11 14:55:22.090847
1.09,-0.21,0.01,2025-02-11 14:55:22.092004
1.01,-0.21,0.04,2025-02-11 14:55:22.093123
0.9,-0.24,0.07,2025-02-11 14:55:22.119904
0.87,-0.24,0.06,2025-02-11 14:55:22.120767
0.85,-0.24,0.04,2025-02-11 14:55:22.121941
0.84,-0.24,0.03,2025-02-11 14:55:22.150053
0.84,-0.23,0.01,2025-02-11 14:55:22.150900
0.86,-0.21,0.0,2025-02-11 14:55:22.164885
0.88,-0.18,-0.01,2025-02-11 14:55:22.180129
0.89,-0.16,-0.02,2025-02-11 14:55:22.180878
0.88,-0.14,-0.02,2025-02-11 14:55:22.181933
0.88,-0.13,-0.02,2025-02-11 14:55:22.183315
0.87,-0.11,0.0,2025-02-11 14:55:22.209163
0.86,-0.11,0.02,2025-02-11 14:55:22.210149
0.85,-0.12,0.03,2025-02-11 14:55:22.211496
0.84,-0.13,0.04,2025-02-11 14:55:22.239759
0.84,-0.15,0.05,2025-02-11 14:55:22.240725
0.82,-0.17,0.06,2025-02-11 14:55:22.299050
0.8,-0.17,0.07,2025-02-11 14:55:22.300014
0.79,-0.17,0.08,2025-02-11 14:55:22.301198
0.77,-0.19,0.08,2025-02-11 14:55:22.303108
0.71,-0.28,0.07,2025-02-11 14:55:22.314593
0.68,-0.3,0.09,2025-02-11 14:55:22.315824
0.68,-0.31,0.11,2025-02-11 14:55:22.359048
0.68,-0.33,0.13,2025-02-11 14:55:22.360040
0.69,-0.34,0.14,2025-02-11 14:55:22.361210
0.7,-0.34,0.16,2025-02-11 14:55:22.363113
0.74,-0.36,0.2,2025-02-11 14:55:22.374730
0.77,-0.35,0.21,2025-02-11 14:55:22.375685
0.79,-0.32,0.23,2025-02-11 14:55:22.377484
0.81,-0.33,0.24,2025-02-11 14:55:22.389889
0.84,-0.31,0.26,2025-02-11 14:55:22.419897
0.87,-0.3,0.28,2025-02-11 14:55:22.420866
0.89,-0.29,0.29,2025-02-11 14:55:22.422655
0.91,-0.28,0.3,2025-02-11 14:55:22.434872
0.95,-0.24,0.32,2025-02-11 14:55:22.435976
0.96,-0.24,0.32,2025-02-11 14:55:22.449834
1.01,-0.22,0.31,2025-02-11 14:55:22.480053
1.05,-0.2,0.31,2025-02-11 14:55:22.480752
1.1,-0.18,0.3,2025-02-11 14:55:22.481977
1.15,-0.16,0.3,2025-02-11 14:55:22.483386
1.2,-0.15,0.3,2025-02-11 14:55:22.510329
1.24,-0.15,0.3,2025-02-11 14:55:22.511473
1.27,-0.14,0.29,2025-02-11 14:55:22.539217
1.29,-0.14,0.29,2025-02-11 14:55:22.540089
1.31,-0.15,0.29,2025-02-11 14:55:22.541238
1.33,-0.15,0.31,2025-02-11 14:55:22.542692
1.3,-0.23,0.34,2025-02-11 14:55:22.569847
1.29,-0.26,0.36,2025-02-11 14:55:22.570853
1.3,-0.28,0.38,2025-02-11 14:55:22.572576
1.33,-0.3,0.4,2025-02-11 14:55:22.584808
1.36,-0.32,0.42,2025-02-11 14:55:22.585998
1.41,-0.33,0.44,2025-02-11 14:55:22.614743
1.48,-0.33,0.44,2025-02-11 14:55:22.629731
1.54,-0.35,0.44,2025-02-11 14:55:22.630283
1.59,-0.34,0.42,2025-02-11 14:55:22.631302
1.61,-0.32,0.39,2025-02-11 14:55:22.645209
1.57,-0.26,0.3,2025-02-11 14:55:22.646329
1.53,-0.25,0.25,2025-02-11 14:55:22.674869
1.5,-0.23,0.21,2025-02-11 14:55:22.689846
1.49,-0.22,0.19,2025-02-11 14:55:22.690882
1.47,-0.2,0.17,2025-02-11 14:55:22.692035
1.46,-0.18,0.16,2025-02-11 14:55:22.693745
1.43,-0.17,0.14,2025-02-11 14:55:22.704795
1.4,-0.16,0.12,2025-02-11 14:55:22.705821
1.37,-0.14,0.1,2025-02-11 14:55:22.734937
1.34,-0.14,0.08,2025-02-11 14:55:22.735817
1.3,-0.13,0.05,2025-02-11 14:55:22.749846
1.26,-0.12,0.02,2025-02-11 14:55:22.750670
1.22,-0.13,0.0,2025-02-11 14:55:22.751892
1.18,-0.13,-0.01,2025-02-11 14:55:22.764638
1.14,-0.15,-0.02,2025-02-11 14:55:22.765298
1.1,-0.14,-0.03,2025-02-11 14:55:22.780292
1.07,-0.16,-0.03,2025-02-11 14:55:22.794884
1.04,-0.17,-0.03,2025-02-11 14:55:22.809826
1.01,-0.17,-0.02,2025-02-11 14:55:22.810809
0.99,-0.18,-0.03,2025-02-11 14:55:22.812123
0.96,-0.19,-0.03,2025-02-11 14:55:22.824977
0.95,-0.2,-0.03,2025-02-11 14:55:22.855302
0.91,-0.21,-0.05,2025-02-11 14:55:22.856035
0.89,-0.2,-0.06,2025-02-11 14:55:22.857589
0.84,-0.2,-0.08,2025-02-11 14:55:22.870064
0.81,-0.19,-0.09,2025-02-11 14:55:22.870912
0.78,-0.21,-0.11,2025-02-11 14:55:22.899215
0.79,-0.15,-0.1,2025-02-11 14:55:22.914844
0.75,-0.21,-0.13,2025-02-11 14:55:22.915923
0.75,-0.19,-0.13,2025-02-11 14:55:22.917712
0.76,-0.16,-0.13,2025-02-11 14:55:22.929951
0.76,-0.13,-0.13,2025-02-11 14:55:22.945207
0.74,-0.17,-0.15,2025-02-11 14:55:22.960004
