X (g),Y (g),Z (g),Timestamp
0.92,0.33,0.2,2025-03-11 11:14:46.446873
0.92,0.33,0.2,2025-03-11 11:14:46.476075
0.92,0.33,0.19,2025-03-11 11:14:46.477141
0.93,0.34,0.17,2025-03-11 11:14:46.490933
0.94,0.34,0.16,2025-03-11 11:14:46.492047
0.95,0.34,0.15,2025-03-11 11:14:46.536673
0.96,0.34,0.14,2025-03-11 11:14:46.537312
0.97,0.34,0.14,2025-03-11 11:14:46.538130
0.97,0.34,0.13,2025-03-11 11:14:46.539723
0.97,0.34,0.13,2025-03-11 11:14:46.550887
0.97,0.33,0.12,2025-03-11 11:14:46.565191
0.96,0.33,0.12,2025-03-11 11:14:46.567263
0.95,0.32,0.12,2025-03-11 11:14:46.580977
0.95,0.32,0.12,2025-03-11 11:14:46.596054
0.94,0.31,0.12,2025-03-11 11:14:46.597180
0.93,0.31,0.12,2025-03-11 11:14:46.611189
0.93,0.31,0.12,2025-03-11 11:14:46.626142
0.93,0.3,0.12,2025-03-11 11:14:46.627162
0.93,0.3,0.12,2025-03-11 11:14:46.641147
0.92,0.29,0.13,2025-03-11 11:14:46.642094
0.92,0.29,0.13,2025-03-11 11:14:46.686471
0.91,0.28,0.13,2025-03-11 11:14:46.687221
0.9,0.27,0.14,2025-03-11 11:14:46.688134
0.9,0.27,0.14,2025-03-11 11:14:46.689698
0.89,0.27,0.15,2025-03-11 11:14:46.701299
0.89,0.27,0.15,2025-03-11 11:14:46.702377
0.89,0.27,0.16,2025-03-11 11:14:46.716100
0.9,0.27,0.16,2025-03-11 11:14:46.746220
0.9,0.27,0.16,2025-03-11 11:14:46.746998
0.9,0.27,0.16,2025-03-11 11:14:46.776148
0.9,0.27,0.17,2025-03-11 11:14:46.791020
0.9,0.27,0.17,2025-03-11 11:14:46.791983
0.89,0.27,0.17,2025-03-11 11:14:46.793100
0.89,0.27,0.18,2025-03-11 11:14:46.794935
0.89,0.28,0.19,2025-03-11 11:14:46.821055
0.9,0.29,0.19,2025-03-11 11:14:46.822167
0.9,0.29,0.19,2025-03-11 11:14:46.836062
0.9,0.29,0.2,2025-03-11 11:14:46.837019
0.91,0.3,0.2,2025-03-11 11:14:46.851053
0.91,0.3,0.2,2025-03-11 11:14:46.852412
0.91,0.3,0.2,2025-03-11 11:14:46.881421
0.91,0.3,0.2,2025-03-11 11:14:46.882469
0.91,0.31,0.2,2025-03-11 11:14:46.941407
0.91,0.31,0.2,2025-03-11 11:14:46.942135
0.91,0.31,0.2,2025-03-11 11:14:46.943119
0.91,0.32,0.2,2025-03-11 11:14:46.944951
0.93,0.34,0.19,2025-03-11 11:14:46.971104
0.93,0.35,0.18,2025-03-11 11:14:46.972128
0.93,0.35,0.18,2025-03-11 11:14:46.973146
0.93,0.35,0.17,2025-03-11 11:14:46.974974
0.93,0.36,0.17,2025-03-11 11:14:47.016373
0.93,0.36,0.16,2025-03-11 11:14:47.017061
0.93,0.37,0.16,2025-03-11 11:14:47.031410
0.93,0.37,0.15,2025-03-11 11:14:47.032147
0.93,0.38,0.15,2025-03-11 11:14:47.033760
0.94,0.39,0.14,2025-03-11 11:14:47.091298
0.94,0.39,0.14,2025-03-11 11:14:47.105317
0.94,0.39,0.14,2025-03-11 11:14:47.106239
0.94,0.39,0.13,2025-03-11 11:14:47.107398
0.94,0.38,0.13,2025-03-11 11:14:47.108844
0.94,0.38,0.13,2025-03-11 11:14:47.121107
0.94,0.38,0.13,2025-03-11 11:14:47.122081
0.94,0.38,0.13,2025-03-11 11:14:47.136434
0.94,0.38,0.13,2025-03-11 11:14:47.137132
0.93,0.37,0.13,2025-03-11 11:14:47.225922
0.92,0.37,0.13,2025-03-11 11:14:47.226704
0.91,0.36,0.13,2025-03-11 11:14:47.227899
0.9,0.36,0.13,2025-03-11 11:14:47.229789
0.87,0.35,0.14,2025-03-11 11:14:47.240990
0.82,0.33,0.14,2025-03-11 11:14:47.256185
0.8,0.32,0.13,2025-03-11 11:14:47.257006
0.8,0.32,0.12,2025-03-11 11:14:47.271217
0.81,0.32,0.11,2025-03-11 11:14:47.286469
0.84,0.33,0.12,2025-03-11 11:14:47.287432
0.87,0.34,0.13,2025-03-11 11:14:47.301626
0.92,0.36,0.15,2025-03-11 11:14:47.331403
0.93,0.37,0.16,2025-03-11 11:14:47.332422
0.93,0.37,0.16,2025-03-11 11:14:47.333717
0.92,0.37,0.16,2025-03-11 11:14:47.346460
0.91,0.37,0.16,2025-03-11 11:14:47.361087
0.9,0.37,0.16,2025-03-11 11:14:47.376029
0.89,0.38,0.17,2025-03-11 11:14:47.377070
0.88,0.39,0.18,2025-03-11 11:14:47.391156
0.88,0.4,0.19,2025-03-11 11:14:47.392117
0.88,0.42,0.19,2025-03-11 11:14:47.406492
0.88,0.44,0.2,2025-03-11 11:14:47.436327
0.89,0.46,0.2,2025-03-11 11:14:47.437339
0.91,0.49,0.2,2025-03-11 11:14:47.439131
0.94,0.52,0.2,2025-03-11 11:14:47.451050
0.96,0.56,0.2,2025-03-11 11:14:47.452170
0.97,0.59,0.2,2025-03-11 11:14:47.480917
0.97,0.62,0.21,2025-03-11 11:14:47.482367
0.97,0.63,0.21,2025-03-11 11:14:47.496006
0.96,0.64,0.21,2025-03-11 11:14:47.496932
0.95,0.64,0.21,2025-03-11 11:14:47.498711
0.95,0.67,0.2,2025-03-11 11:14:47.541538
0.94,0.69,0.2,2025-03-11 11:14:47.542416
0.93,0.72,0.2,2025-03-11 11:14:47.544556
0.9,0.76,0.19,2025-03-11 11:14:47.571353
0.88,0.78,0.18,2025-03-11 11:14:47.585861
0.85,0.79,0.17,2025-03-11 11:14:47.586882
0.83,0.78,0.17,2025-03-11 11:14:47.631043
0.8,0.76,0.16,2025-03-11 11:14:47.645331
0.77,0.74,0.16,2025-03-11 11:14:47.646270
0.76,0.72,0.17,2025-03-11 11:14:47.647372
0.74,0.67,0.17,2025-03-11 11:14:47.660939
0.75,0.65,0.17,2025-03-11 11:14:47.662009
0.75,0.65,0.16,2025-03-11 11:14:47.676064
0.76,0.65,0.15,2025-03-11 11:14:47.677096
0.76,0.65,0.14,2025-03-11 11:14:47.691024
0.76,0.64,0.13,2025-03-11 11:14:47.721494
