X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.96,0.21,0.04,2025-02-11 14:46:02.530478,0.9835141076771599,0.0
0.96,0.21,0.04,2025-02-11 14:46:02.531613,0.9835141076771599,1.0
0.96,0.2,0.04,2025-02-11 14:46:02.545559,0.9814275317108238,2.0
0.96,0.2,0.04,2025-02-11 14:46:02.560438,0.9814275317108238,3.0
0.96,0.2,0.04,2025-02-11 14:46:02.561429,0.9814275317108238,4.0
0.96,0.2,0.04,2025-02-11 14:46:02.574833,0.9814275317108238,5.0
0.96,0.2,0.04,2025-02-11 14:46:02.590129,0.9814275317108238,6.0
0.96,0.2,0.04,2025-02-11 14:46:02.590901,0.9814275317108238,7.0
0.96,0.2,0.04,2025-02-11 14:46:02.592655,0.9814275317108238,8.0
0.96,0.2,0.04,2025-02-11 14:46:02.605796,0.9814275317108238,9.0
0.96,0.2,0.04,2025-02-11 14:46:02.620208,0.9814275317108238,10.0
0.96,0.2,0.04,2025-02-11 14:46:02.621331,0.9814275317108238,11.0
0.96,0.21,0.04,2025-02-11 14:46:02.635540,0.9835141076771599,12.0
0.95,0.21,0.03,2025-02-11 14:46:02.636457,0.9733961166965892,13.0
0.95,0.21,0.04,2025-02-11 14:46:02.637842,0.973755616158387,14.0
0.96,0.21,0.04,2025-02-11 14:46:02.650903,0.9835141076771599,15.0
0.96,0.2,0.04,2025-02-11 14:46:02.665663,0.9814275317108238,16.0
0.95,0.21,0.04,2025-02-11 14:46:02.680657,0.973755616158387,17.0
0.96,0.21,0.03,2025-02-11 14:46:02.710620,0.9831581764904364,18.0
0.96,0.21,0.03,2025-02-11 14:46:02.711391,0.9831581764904364,19.0
0.96,0.2,0.03,2025-02-11 14:46:02.712697,0.9810708435174292,20.0
0.96,0.2,0.04,2025-02-11 14:46:02.714554,0.9814275317108238,21.0
0.96,0.2,0.04,2025-02-11 14:46:02.725553,0.9814275317108238,22.0
0.96,0.2,0.04,2025-02-11 14:46:02.741060,0.9814275317108238,23.0
0.96,0.2,0.04,2025-02-11 14:46:02.741905,0.9814275317108238,24.0
0.96,0.2,0.04,2025-02-11 14:46:02.743344,0.9814275317108238,25.0
0.97,0.2,0.03,2025-02-11 14:46:02.756012,0.9908582138732059,26.0
0.96,0.2,0.03,2025-02-11 14:46:02.800651,0.9810708435174292,27.0
