X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.94,-0.14,0.39,2025-02-11 11:08:11,1.027277956543408,0.6153846153846154
0.95,-0.14,0.39,2025-02-11 11:08:11,1.036436201606254,0.625
0.96,-0.14,0.38,2025-02-11 11:08:11,1.0419213022104885,0.6346153846153847
0.97,-0.14,0.38,2025-02-11 11:08:11,1.051142235855833,0.6442307692307693
0.99,-0.15,0.38,2025-02-11 11:08:11,1.0709808588392231,0.6538461538461539
1.0,-0.15,0.37,2025-02-11 11:08:11,1.0767543823918249,0.6634615384615385
0.99,-0.14,0.36,2025-02-11 11:08:11,1.06268527796333,0.6730769230769231
1.0,-0.1,0.36,2025-02-11 11:08:11,1.0675204916066015,0.6826923076923077
1.04,-0.16,0.33,2025-02-11 11:08:11,1.102769241500687,0.6923076923076923
0.98,-0.11,0.32,2025-02-11 11:08:11,1.0367738422626218,0.701923076923077
0.98,-0.09,0.31,2025-02-11 11:08:11,1.0317945531936095,0.7115384615384616
1.03,-0.13,0.3,2025-02-11 11:08:11,1.0806479537758815,0.7211538461538461
0.97,-0.07,0.3,2025-02-11 11:08:11,1.017742600071354,0.7307692307692308
1.01,-0.08,0.3,2025-02-11 11:08:11,1.0566456359631644,0.7403846153846154
1.03,-0.08,0.3,2025-02-11 11:08:11,1.0757787876696585,0.75
1.01,-0.07,0.29,2025-02-11 11:08:11,1.053138167573467,0.7596153846153847
1.02,-0.08,0.29,2025-02-11 11:08:11,1.063437821407533,0.7692307692307693
1.04,-0.07,0.29,2025-02-11 11:08:11,1.081942697188719,0.7788461538461539
1.05,-0.06,0.28,2025-02-11 11:08:11,1.0883473710171767,0.7884615384615385
1.04,-0.07,0.28,2025-02-11 11:08:11,1.0793053321465618,0.7980769230769231
1.07,-0.03,0.27,2025-02-11 11:08:11,1.1039474625180312,0.8076923076923077
1.06,-0.0,0.27,2025-02-11 11:08:11,1.0938464243210744,0.8173076923076924
1.04,0.0,0.27,2025-02-11 11:08:11,1.074476616776745,0.826923076923077
1.04,-0.01,0.26,2025-02-11 11:08:11,1.0720541031123383,0.8365384615384616
1.03,0.02,0.25,2025-02-11 11:08:11,1.0600943354249186,0.8461538461538463
1.04,0.01,0.25,2025-02-11 11:08:11,1.0696728471827264,0.8557692307692308
1.02,0.01,0.25,2025-02-11 11:08:11,1.0502380682492898,0.8653846153846154
1.04,0.01,0.24,2025-02-11 11:08:11,1.067379969832674,0.875
1.06,-0.02,0.23,2025-02-11 11:08:11,1.084850220076486,0.8846153846153847
1.05,0.01,0.23,2025-02-11 11:08:11,1.0749418588928425,0.8942307692307693
1.07,0.07,0.23,2025-02-11 11:08:11,1.0966767983321248,0.9038461538461539
1.07,0.09,0.22,2025-02-11 11:08:11,1.0960839383915815,0.9134615384615385
1.05,0.13,0.19,2025-02-11 11:08:11,1.0749418588928425,0.9230769230769231
1.04,0.11,0.2,2025-02-11 11:08:11,1.0647534925981694,0.9326923076923077
1.03,0.08,0.2,2025-02-11 11:08:11,1.0522832318344715,0.9423076923076924
1.02,0.05,0.2,2025-02-11 11:08:11,1.0406248123122954,0.951923076923077
1.0,0.02,0.2,2025-02-11 11:08:11,1.02,0.9615384615384616
0.98,-0.01,0.2,2025-02-11 11:08:11,1.0002499687578101,0.9711538461538463
0.98,-0.04,0.2,2025-02-11 11:08:11,1.000999500499376,0.9807692307692308
0.96,-0.05,0.2,2025-02-11 11:08:11,0.9818859404228171,0.9903846153846154
0.94,-0.06,0.19,2025-02-11 11:08:12,0.9608850087289321,1.0
0.93,-0.07,0.17,2025-02-11 11:08:12,0.9479978902930112,1.0092592592592593
0.94,-0.06,0.15,2025-02-11 11:08:12,0.9537819457297354,1.0185185185185186
0.93,-0.04,0.14,2025-02-11 11:08:12,0.9413288479590967,1.0277777777777777
0.96,-0.05,0.14,2025-02-11 11:08:12,0.9714422267947795,1.037037037037037
0.98,-0.07,0.13,2025-02-11 11:08:12,0.9910600385445879,1.0462962962962963
1.0,-0.06,0.14,2025-02-11 11:08:12,1.0115334893121435,1.0555555555555556
1.02,-0.06,0.14,2025-02-11 11:08:12,1.031309846748299,1.0648148148148149
1.03,-0.08,0.14,2025-02-11 11:08:12,1.042544963059148,1.074074074074074
1.03,-0.07,0.15,2025-02-11 11:08:12,1.043216180856106,1.0833333333333333
1.06,0.01,0.14,2025-02-11 11:08:12,1.0692520750505936,1.0925925925925926
0.99,-0.14,0.15,2025-02-11 11:08:12,1.0110390694725897,1.1018518518518519
1.04,-0.12,0.14,2025-02-11 11:08:12,1.0562196741208716,1.1111111111111112
1.0,-0.11,0.15,2025-02-11 11:08:12,1.017152889196113,1.1203703703703705
0.98,-0.09,0.16,2025-02-11 11:08:12,0.9970456358662826,1.1296296296296295
0.98,-0.1,0.17,2025-02-11 11:08:12,0.9996499387285531,1.1388888888888888
0.9,-0.1,0.17,2025-02-11 11:08:12,0.9213576938409969,1.1481481481481481
0.88,-0.08,0.17,2025-02-11 11:08:12,0.8998333178983761,1.1574074074074074
0.86,-0.09,0.17,2025-02-11 11:08:12,0.8812491134747313,1.1666666666666667
0.83,-0.08,0.16,2025-02-11 11:08:12,0.8490583018850942,1.175925925925926
0.79,-0.07,0.15,2025-02-11 11:08:12,0.8071554992688832,1.1851851851851851
0.78,-0.07,0.14,2025-02-11 11:08:12,0.7955501241279521,1.1944444444444444
0.76,-0.07,0.14,2025-02-11 11:08:12,0.7759510293826537,1.2037037037037037
0.75,-0.06,0.13,2025-02-11 11:08:12,0.763544366752843,1.212962962962963
0.76,-0.05,0.14,2025-02-11 11:08:12,0.7744029958619736,1.2222222222222223
0.76,-0.03,0.14,2025-02-11 11:08:12,0.7733692520394123,1.2314814814814814
0.77,-0.03,0.14,2025-02-11 11:08:12,0.7831985699680509,1.2407407407407407
0.77,-0.02,0.16,2025-02-11 11:08:12,0.7867019766086774,1.25
0.78,-0.02,0.17,2025-02-11 11:08:12,0.7985612061701971,1.2592592592592593
0.79,-0.01,0.18,2025-02-11 11:08:12,0.8103085831953158,1.2685185185185186
0.8,-0.02,0.18,2025-02-11 11:08:12,0.8202438661763952,1.2777777777777777
0.8,-0.02,0.19,2025-02-11 11:08:12,0.8224962005991274,1.287037037037037
0.8,-0.02,0.19,2025-02-11 11:08:12,0.8224962005991274,1.2962962962962963
0.81,-0.03,0.2,2025-02-11 11:08:12,0.8348652585896722,1.3055555555555556
0.81,-0.03,0.2,2025-02-11 11:08:12,0.8348652585896722,1.3148148148148149
0.82,-0.04,0.21,2025-02-11 11:08:12,0.8474078120952154,1.324074074074074
0.82,-0.02,0.22,2025-02-11 11:08:12,0.8492349498224857,1.3333333333333333
0.81,-0.02,0.23,2025-02-11 11:08:12,0.8422588675698226,1.3425925925925926
0.81,-0.02,0.23,2025-02-11 11:08:12,0.8422588675698226,1.3518518518518519
0.81,-0.02,0.24,2025-02-11 11:08:12,0.8450443775329199,1.3611111111111112
0.81,-0.02,0.26,2025-02-11 11:08:12,0.8509406559801923,1.3703703703703702
0.81,-0.02,0.27,2025-02-11 11:08:12,0.854049178911847,1.3796296296296295
0.81,-0.03,0.29,2025-02-11 11:08:12,0.8608716512930369,1.3888888888888888
